iter	Passed	Remaining
0	12	4570
1	17	3238
2	22	2692
3	26	2461
4	31	2311
5	36	2195
6	40	2121
7	45	2054
8	49	1989
9	54	1955
10	59	1927
11	63	1894
12	68	1877
13	73	1861
14	77	1839
15	82	1822
16	87	1810
17	91	1795
18	96	1791
19	101	1783
20	106	1767
21	110	1752
22	115	1742
23	120	1736
24	125	1728
25	129	1715
26	134	1708
27	139	1699
28	144	1695
29	149	1689
30	154	1684
31	158	1674
32	163	1664
33	167	1658
34	172	1650
35	177	1644
36	181	1632
37	185	1621
38	190	1613
39	197	1627
40	201	1616
41	205	1608
42	210	1600
43	214	1588
44	218	1581
45	223	1571
46	227	1564
47	231	1555
48	236	1547
49	240	1540
50	245	1533
51	249	1526
52	253	1518
53	258	1512
54	262	1504
55	267	1497
56	271	1492
57	275	1484
58	280	1478
59	284	1471
60	289	1464
61	298	1485
62	303	1480
63	307	1471
64	311	1462
65	315	1453
66	319	1445
67	323	1437
68	328	1431
69	332	1424
70	336	1416
71	340	1410
72	345	1404
73	349	1396
74	353	1388
75	357	1381
76	361	1375
77	365	1367
78	369	1361
79	373	1354
80	377	1348
81	382	1341
82	385	1334
83	390	1329
84	396	1330
85	400	1322
86	404	1315
87	408	1308
88	412	1301
89	416	1294
90	420	1288
91	424	1281
92	429	1279
93	433	1272
94	437	1266
95	440	1258
96	445	1252
97	449	1247
98	453	1241
99	457	1234
100	461	1229
101	466	1225
102	469	1218
103	474	1212
104	478	1206
105	481	1200
106	485	1194
107	489	1188
108	499	1196
109	503	1191
110	507	1185
111	512	1179
112	515	1173
113	519	1167
114	523	1161
115	528	1156
116	533	1153
117	539	1151
118	545	1149
119	549	1144
120	554	1141
121	558	1135
122	563	1132
123	569	1128
124	573	1124
125	578	1119
126	582	1114
127	586	1108
128	590	1104
129	596	1102
130	600	1096
131	605	1091
132	612	1091
133	616	1086
134	621	1081
135	625	1075
136	629	1070
137	633	1065
138	637	1060
139	642	1055
140	646	1050
141	651	1045
142	655	1040
143	659	1034
144	663	1029
145	667	1024
146	672	1019
147	676	1014
148	680	1009
149	685	1005
150	689	999
151	693	994
152	702	995
153	706	990
154	710	985
155	714	980
156	718	975
157	722	969
158	726	964
159	730	959
160	735	954
161	739	949
162	743	944
163	747	939
164	752	934
165	756	929
166	760	923
167	764	918
168	768	913
169	772	908
170	776	903
171	780	898
172	784	892
173	788	887
174	792	882
175	797	879
176	801	874
177	805	869
178	809	863
179	813	858
180	816	853
181	820	848
182	824	842
183	828	837
184	832	832
185	835	826
186	840	822
187	844	817
188	847	811
189	851	806
190	855	801
191	858	795
192	861	790
193	865	785
194	869	779
195	873	775
196	876	769
197	880	764
198	884	759
199	887	754
200	891	749
201	895	744
202	899	739
203	903	734
204	906	729
205	910	724
206	913	719
207	917	714
208	921	709
209	924	704
210	928	699
211	932	694
212	935	689
213	939	684
214	943	680
215	947	675
216	951	670
217	956	666
218	960	662
219	964	657
220	968	653
221	973	648
222	977	644
223	981	639
224	985	635
225	989	630
226	994	626
227	998	621
228	1002	616
229	1005	612
230	1009	607
231	1013	602
232	1016	597
233	1020	592
234	1024	588
235	1027	583
236	1031	578
237	1034	574
238	1038	569
239	1042	564
240	1046	560
241	1050	555
242	1053	550
243	1057	546
244	1061	541
245	1065	537
246	1069	532
247	1073	527
248	1077	523
249	1081	519
250	1085	514
251	1088	509
252	1093	505
253	1097	501
254	1101	496
255	1105	492
256	1109	487
257	1113	483
258	1117	478
259	1121	474
260	1124	469
261	1128	465
262	1132	460
263	1135	456
264	1139	451
265	1144	447
266	1147	442
267	1151	438
268	1155	433
269	1158	429
270	1162	424
271	1166	420
272	1169	415
273	1173	411
274	1177	406
275	1182	402
276	1185	398
277	1189	393
278	1194	389
279	1197	385
280	1201	380
281	1206	376
282	1209	371
283	1213	367
284	1217	363
285	1220	358
286	1224	354
287	1228	349
288	1232	345
289	1236	341
290	1240	336
291	1244	332
292	1248	328
293	1252	323
294	1256	319
295	1260	315
296	1264	310
297	1268	306
298	1272	302
299	1276	297
300	1280	293
301	1284	289
302	1287	284
303	1292	280
304	1296	276
305	1300	272
306	1304	267
307	1307	263
308	1311	258
309	1315	254
310	1320	250
311	1324	246
312	1327	241
313	1331	237
314	1335	233
315	1339	228
316	1343	224
317	1347	220
318	1351	216
319	1355	211
320	1359	207
321	1363	203
322	1366	198
323	1370	194
324	1374	190
325	1379	186
326	1383	181
327	1386	177
328	1390	173
329	1394	169
330	1398	164
331	1401	160
332	1405	156
333	1410	151
334	1413	147
335	1417	143
336	1421	139
337	1425	134
338	1428	130
339	1432	126
340	1436	122
341	1439	117
342	1443	113
343	1446	109
344	1450	105
345	1454	100
346	1458	96
347	1462	92
348	1465	88
349	1469	83
350	1473	79
351	1477	75
352	1481	71
353	1485	67
354	1489	62
355	1494	58
356	1498	54
357	1502	50
358	1506	46
359	1510	41
360	1514	37
361	1518	33
362	1522	29
363	1525	25
364	1529	20
365	1534	16
366	1538	12
367	1542	8
368	1548	4
369	1553	0
